rank,author,title,year,kind,in_library,words,wikisource,epub,audio,audio_kind,audio_title,duration,audio_note,rights
28,Гоголь Н.В.,Тарас Бульба,1842,novella,taras-bulba,36708,https://ru.wikisource.org/wiki/%D0%A2%D0%B0%D1%80%D0%B0%D1%81_%D0%91%D1%83%D0%BB%D1%8C%D0%B1%D0%B0_%28%D0%93%D0%BE%D0%B3%D0%BE%D0%BB%D1%8C%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%A2%D0%B0%D1%80%D0%B0%D1%81_%D0%91%D1%83%D0%BB%D1%8C%D0%B1%D0%B0_%28%D0%93%D0%BE%D0%B3%D0%BE%D0%BB%D1%8C%29,https://www.youtube.com/watch?v=CJMvJ8av-fk,video,Гоголь Николай Васильевич — Тарас Бульба {аудиокнига},5:40:10,,public domain in RU
29,Пушкин А.С.,Пиковая дама,1834,story,pikovaya-dama,6872,https://ru.wikisource.org/wiki/%D0%9F%D0%B8%D0%BA%D0%BE%D0%B2%D0%B0%D1%8F_%D0%B4%D0%B0%D0%BC%D0%B0_%28%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%9F%D0%B8%D0%BA%D0%BE%D0%B2%D0%B0%D1%8F_%D0%B4%D0%B0%D0%BC%D0%B0_%28%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD%29,https://www.youtube.com/watch?v=j2HnCjLGGHg,video,"Пиковая дама. Александр Пушкин. Литературные чтения, 1986",1:12:21,,public domain in RU
30,Ильф И. и Петров Е.,Двенадцать стульев,1928,novel,dvenadtsat-stulev,78579,https://ru.wikisource.org/wiki/%D0%94%D0%B2%D0%B5%D0%BD%D0%B0%D0%B4%D1%86%D0%B0%D1%82%D1%8C_%D1%81%D1%82%D1%83%D0%BB%D1%8C%D0%B5%D0%B2_%28%D0%98%D0%BB%D1%8C%D1%84_%D0%B8_%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%94%D0%B2%D0%B5%D0%BD%D0%B0%D0%B4%D1%86%D0%B0%D1%82%D1%8C_%D1%81%D1%82%D1%83%D0%BB%D1%8C%D0%B5%D0%B2_%28%D0%98%D0%BB%D1%8C%D1%84_%D0%B8_%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%29,https://www.youtube.com/watch?v=OFMwE7OZfa0,video,И. Ильф и Е. Петров «Двенадцать стульев». Читает Вениамин Смехов,8:56:31,,public domain in RU
31,Достоевский Ф.М.,Записки из подполья,1864,novella,zapiski-iz-podpolya,34677,https://ru.wikisource.org/wiki/%D0%97%D0%B0%D0%BF%D0%B8%D1%81%D0%BA%D0%B8_%D0%B8%D0%B7_%D0%BF%D0%BE%D0%B4%D0%BF%D0%BE%D0%BB%D1%8C%D1%8F_%28%D0%94%D0%BE%D1%81%D1%82%D0%BE%D0%B5%D0%B2%D1%81%D0%BA%D0%B8%D0%B9%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%97%D0%B0%D0%BF%D0%B8%D1%81%D0%BA%D0%B8_%D0%B8%D0%B7_%D0%BF%D0%BE%D0%B4%D0%BF%D0%BE%D0%BB%D1%8C%D1%8F_%28%D0%94%D0%BE%D1%81%D1%82%D0%BE%D0%B5%D0%B2%D1%81%D0%BA%D0%B8%D0%B9%29,https://www.youtube.com/watch?v=OdHw5QqFrqA,video,Фёдор Михайлович Достоевский. Записки из подполья. аудиокнига,5:25:50,,public domain in RU
32,Толстой Л.Н.,Смерть Ивана Ильича,1886,novella,smert-ivana-ilicha,17329,https://ru.wikisource.org/wiki/%D0%A1%D0%BC%D0%B5%D1%80%D1%82%D1%8C_%D0%98%D0%B2%D0%B0%D0%BD%D0%B0_%D0%98%D0%BB%D1%8C%D0%B8%D1%87%D0%B0_%28%D0%A2%D0%BE%D0%BB%D1%81%D1%82%D0%BE%D0%B9%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%A1%D0%BC%D0%B5%D1%80%D1%82%D1%8C_%D0%98%D0%B2%D0%B0%D0%BD%D0%B0_%D0%98%D0%BB%D1%8C%D0%B8%D1%87%D0%B0_%28%D0%A2%D0%BE%D0%BB%D1%81%D1%82%D0%BE%D0%B9%29,https://www.youtube.com/watch?v=fiBwPQ3v-Yw,video,Лев Николаевич Толстой. Смерть Ивана Ильича. аудиокнига,2:40:47,,public domain in RU
33,Чехов А.П.,Чайка,1896,play,chayka,13635,https://ru.wikisource.org/wiki/%D0%A7%D0%B0%D0%B9%D0%BA%D0%B0_%28%D0%A7%D0%B5%D1%85%D0%BE%D0%B2%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%A7%D0%B0%D0%B9%D0%BA%D0%B0_%28%D0%A7%D0%B5%D1%85%D0%BE%D0%B2%29,https://www.youtube.com/watch?v=cf43gBusKbY,video,Чехов. Чайка. МХАТ им. Горького (1974),2:48:59,,public domain in RU
34,Чехов А.П.,Палата № 6,1892,novella,palata-6,16040,https://ru.wikisource.org/wiki/%D0%9F%D0%B0%D0%BB%D0%B0%D1%82%D0%B0_%E2%84%96_6_%28%D0%A7%D0%B5%D1%85%D0%BE%D0%B2%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%9F%D0%B0%D0%BB%D0%B0%D1%82%D0%B0_%E2%84%96_6_%28%D0%A7%D0%B5%D1%85%D0%BE%D0%B2%29,https://www.youtube.com/watch?v=ev7W9zrO-SI,video,Палата №6. Рассказ. Чехов. Аудиокниги,2:24:33,,public domain in RU
35,Гоголь Н.В.,Вий,1835,novella,viy,11642,https://ru.wikisource.org/wiki/%D0%92%D0%B8%D0%B9_%28%D0%93%D0%BE%D0%B3%D0%BE%D0%BB%D1%8C%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%92%D0%B8%D0%B9_%28%D0%93%D0%BE%D0%B3%D0%BE%D0%BB%D1%8C%29,https://www.youtube.com/watch?v=Aa5GVNiQGTE,video,Н.В. Гоголь — Вий (Аудиокнига),1:31:09,,public domain in RU
36,Тургенев И.С.,Записки охотника,1852,stories,zapiski-okhotnika,89509,https://ru.wikisource.org/wiki/%D0%97%D0%B0%D0%BF%D0%B8%D1%81%D0%BA%D0%B8_%D0%BE%D1%85%D0%BE%D1%82%D0%BD%D0%B8%D0%BA%D0%B0_%28%D0%A2%D1%83%D1%80%D0%B3%D0%B5%D0%BD%D0%B5%D0%B2%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%97%D0%B0%D0%BF%D0%B8%D1%81%D0%BA%D0%B8_%D0%BE%D1%85%D0%BE%D1%82%D0%BD%D0%B8%D0%BA%D0%B0_%28%D0%A2%D1%83%D1%80%D0%B3%D0%B5%D0%BD%D0%B5%D0%B2%29,https://www.youtube.com/playlist?list=PLwbVfq-OcyKo7QKUwU0zPeEx8kbBObO4s,playlist,Рассказ «Записки охотника». И. С. Тургенев. Аудиокнига,2:10:26,no single full upload found — playlist covers the whole book,public domain in RU
37,Лермонтов М.Ю.,Мцыри,1839,poem,mtsyri,3355,https://ru.wikisource.org/wiki/%D0%9C%D1%86%D1%8B%D1%80%D0%B8_%28%D0%9B%D0%B5%D1%80%D0%BC%D0%BE%D0%BD%D1%82%D0%BE%D0%B2%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%9C%D1%86%D1%8B%D1%80%D0%B8_%28%D0%9B%D0%B5%D1%80%D0%BC%D0%BE%D0%BD%D1%82%D0%BE%D0%B2%29,https://www.youtube.com/watch?v=XjzFOdl7lCw,video,«Мцыри». М. Ю. Лермонтов. Аудиокнига,32:30,,public domain in RU
