rank,author,title,year,kind,in_library,words,wikisource,epub,audio,audio_kind,audio_title,duration,audio_note,rights
48,Чехов А.П.,Каштанка,1887,story,kashtanka,5857,https://ru.wikisource.org/wiki/%D0%9A%D0%B0%D1%88%D1%82%D0%B0%D0%BD%D0%BA%D0%B0_%28%D0%A7%D0%B5%D1%85%D0%BE%D0%B2%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%9A%D0%B0%D1%88%D1%82%D0%B0%D0%BD%D0%BA%D0%B0_%28%D0%A7%D0%B5%D1%85%D0%BE%D0%B2%29,https://www.youtube.com/watch?v=pG9aIQa_eTE,video,А.П. Чехов «Каштанка». Читает Александр Клюквин,50:05,,public domain in RU
49,Островский Н.А.,Как закалялась сталь,1934,novel,kak-zakalyalas-stal,97674,https://ru.wikisource.org/wiki/%D0%9A%D0%B0%D0%BA_%D0%B7%D0%B0%D0%BA%D0%B0%D0%BB%D1%8F%D0%BB%D0%B0%D1%81%D1%8C_%D1%81%D1%82%D0%B0%D0%BB%D1%8C_%28%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%9A%D0%B0%D0%BA_%D0%B7%D0%B0%D0%BA%D0%B0%D0%BB%D1%8F%D0%BB%D0%B0%D1%81%D1%8C_%D1%81%D1%82%D0%B0%D0%BB%D1%8C_%28%D0%9E%D1%81%D1%82%D1%80%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9%29,https://www.youtube.com/playlist?list=PLgv2AjzG3VMFtFdWwos1D9ghl-PtokD7g,playlist,Николай Островский. Как закалялась сталь. Часть первая,7:19:28,part 1 only; the rest is on the same channel,public domain in RU
50,Тургенев И.С.,Ася,1858,novella,asya,13758,https://ru.wikisource.org/wiki/%D0%90%D1%81%D1%8F_%28%D0%A2%D1%83%D1%80%D0%B3%D0%B5%D0%BD%D0%B5%D0%B2%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%90%D1%81%D1%8F_%28%D0%A2%D1%83%D1%80%D0%B3%D0%B5%D0%BD%D0%B5%D0%B2%29,https://www.youtube.com/watch?v=r7murt_YLYE,video,Иван Сергеевич Тургенев. Ася. аудиокнига,2:10:25,,public domain in RU
51,Пушкин А.С.,Дубровский,1841,novel,dubrovskiy,20461,https://ru.wikisource.org/wiki/%D0%94%D1%83%D0%B1%D1%80%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9_%28%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%94%D1%83%D0%B1%D1%80%D0%BE%D0%B2%D1%81%D0%BA%D0%B8%D0%B9_%28%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD%29,https://www.youtube.com/watch?v=rHZ1xBI69W4,video,Александр Сергеевич Пушкин. Дубровский. Аудиокнига,3:24:22,,public domain in RU
52,Твардовский А.Т.,Василий Тёркин,1945,poem,,,,,https://www.youtube.com/watch?v=J__OCnxHOXo,video,Твардовский. Василий Тёркин. Читает Олег Табаков (1979),2:11:58,,in copyright — no free text source
53,Достоевский Ф.М.,Белые ночи,1848,novella,belye-nochi,16847,https://ru.wikisource.org/wiki/%D0%91%D0%B5%D0%BB%D1%8B%D0%B5_%D0%BD%D0%BE%D1%87%D0%B8_%28%D0%94%D0%BE%D1%81%D1%82%D0%BE%D0%B5%D0%B2%D1%81%D0%BA%D0%B8%D0%B9%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%91%D0%B5%D0%BB%D1%8B%D0%B5_%D0%BD%D0%BE%D1%87%D0%B8_%28%D0%94%D0%BE%D1%81%D1%82%D0%BE%D0%B5%D0%B2%D1%81%D0%BA%D0%B8%D0%B9%29,https://www.youtube.com/watch?v=935W3aoOIz8,video,Фёдор Михайлович Достоевский. Белые ночи. аудиокнига,2:02:28,,public domain in RU
54,Лермонтов М.Ю.,Демон,1839,poem,demon,4817,https://ru.wikisource.org/wiki/%D0%94%D0%B5%D0%BC%D0%BE%D0%BD_%28%D0%9B%D0%B5%D1%80%D0%BC%D0%BE%D0%BD%D1%82%D0%BE%D0%B2%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%94%D0%B5%D0%BC%D0%BE%D0%BD_%28%D0%9B%D0%B5%D1%80%D0%BC%D0%BE%D0%BD%D1%82%D0%BE%D0%B2%29,https://www.youtube.com/watch?v=5BoHUyqyMZA,video,Михаил Лермонтов — Демон,1:00:07,,public domain in RU
55,Гоголь Н.В.,Вечера на хуторе близ Диканьки,1832,stories,vechera-na-khutore-bliz-dikanki,46595,https://ru.wikisource.org/wiki/%D0%92%D0%B5%D1%87%D0%B5%D1%80%D0%B0_%D0%BD%D0%B0_%D1%85%D1%83%D1%82%D0%BE%D1%80%D0%B5_%D0%B1%D0%BB%D0%B8%D0%B7_%D0%94%D0%B8%D0%BA%D0%B0%D0%BD%D1%8C%D0%BA%D0%B8_%28%D0%93%D0%BE%D0%B3%D0%BE%D0%BB%D1%8C%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%92%D0%B5%D1%87%D0%B5%D1%80%D0%B0_%D0%BD%D0%B0_%D1%85%D1%83%D1%82%D0%BE%D1%80%D0%B5_%D0%B1%D0%BB%D0%B8%D0%B7_%D0%94%D0%B8%D0%BA%D0%B0%D0%BD%D1%8C%D0%BA%D0%B8_%28%D0%93%D0%BE%D0%B3%D0%BE%D0%BB%D1%8C%29,https://www.youtube.com/watch?v=ORrJh3rBer4,video,Николай Васильевич Гоголь: Вечера на хуторе близ Диканьки (аудиокнига),9:12:32,,public domain in RU
56,Солженицын А.И.,Матрёнин двор,1963,story,,,,,https://www.youtube.com/watch?v=g09_L-RB19E,video,«Матрёнин двор». Александр Солженицын,1:49:46,,in copyright — no free text source
57,Бунин И.А.,Господин из Сан-Франциско,1915,story,gospodin-iz-san-frantsisko,6275,https://ru.wikisource.org/wiki/%D0%93%D0%BE%D1%81%D0%BF%D0%BE%D0%B4%D0%B8%D0%BD_%D0%B8%D0%B7_%D0%A1%D0%B0%D0%BD-%D0%A4%D1%80%D0%B0%D0%BD%D1%86%D0%B8%D1%81%D0%BA%D0%BE_%28%D0%91%D1%83%D0%BD%D0%B8%D0%BD%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%93%D0%BE%D1%81%D0%BF%D0%BE%D0%B4%D0%B8%D0%BD_%D0%B8%D0%B7_%D0%A1%D0%B0%D0%BD-%D0%A4%D1%80%D0%B0%D0%BD%D1%86%D0%B8%D1%81%D0%BA%D0%BE_%28%D0%91%D1%83%D0%BD%D0%B8%D0%BD%29,https://www.youtube.com/watch?v=PJxlvNlb_vY,video,Господин из Сан-Франциско. Рассказ. Бунин. Аудиокнига,51:44,,public domain in RU
58,Тургенев И.С.,Первая любовь,1860,novella,pervaya-lyubov,18700,https://ru.wikisource.org/wiki/%D0%9F%D0%B5%D1%80%D0%B2%D0%B0%D1%8F_%D0%BB%D1%8E%D0%B1%D0%BE%D0%B2%D1%8C_%28%D0%A2%D1%83%D1%80%D0%B3%D0%B5%D0%BD%D0%B5%D0%B2%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%9F%D0%B5%D1%80%D0%B2%D0%B0%D1%8F_%D0%BB%D1%8E%D0%B1%D0%BE%D0%B2%D1%8C_%28%D0%A2%D1%83%D1%80%D0%B3%D0%B5%D0%BD%D0%B5%D0%B2%29,https://www.youtube.com/watch?v=2Cgaa-RVEVA,video,Иван Сергеевич Тургенев. Первая любовь. аудиокнига,2:47:06,,public domain in RU
59,Куприн А.И.,Олеся,1898,novella,olesya,22136,https://ru.wikisource.org/wiki/%D0%9E%D0%BB%D0%B5%D1%81%D1%8F_%28%D0%9A%D1%83%D0%BF%D1%80%D0%B8%D0%BD%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%9E%D0%BB%D0%B5%D1%81%D1%8F_%28%D0%9A%D1%83%D0%BF%D1%80%D0%B8%D0%BD%29,https://www.youtube.com/watch?v=McunRf_P_Rk,video,Александр Куприн — Олеся — аудиокнига,3:17:18,,public domain in RU
60,Пушкин А.С.,Повести покойного Ивана Петровича Белкина,1831,stories,povesti-pokoynogo-ivana-petrovicha-belkina,18867,https://ru.wikisource.org/wiki/%D0%9F%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D0%B8_%D0%BF%D0%BE%D0%BA%D0%BE%D0%B9%D0%BD%D0%BE%D0%B3%D0%BE_%D0%98%D0%B2%D0%B0%D0%BD%D0%B0_%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D0%B8%D1%87%D0%B0_%D0%91%D0%B5%D0%BB%D0%BA%D0%B8%D0%BD%D0%B0_%28%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%9F%D0%BE%D0%B2%D0%B5%D1%81%D1%82%D0%B8_%D0%BF%D0%BE%D0%BA%D0%BE%D0%B9%D0%BD%D0%BE%D0%B3%D0%BE_%D0%98%D0%B2%D0%B0%D0%BD%D0%B0_%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%D0%B8%D1%87%D0%B0_%D0%91%D0%B5%D0%BB%D0%BA%D0%B8%D0%BD%D0%B0_%28%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD%29,https://www.youtube.com/watch?v=H8XZ3ISOGog,video,А.С. Пушкин «Повести покойного Ивана Петровича Белкина». Аудиокнига,2:24:21,,public domain in RU
61,Чехов А.П.,Человек в футляре,1898,story,chelovek-v-futlyare,4006,https://ru.wikisource.org/wiki/%D0%A7%D0%B5%D0%BB%D0%BE%D0%B2%D0%B5%D0%BA_%D0%B2_%D1%84%D1%83%D1%82%D0%BB%D1%8F%D1%80%D0%B5_%28%D0%A7%D0%B5%D1%85%D0%BE%D0%B2%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%A7%D0%B5%D0%BB%D0%BE%D0%B2%D0%B5%D0%BA_%D0%B2_%D1%84%D1%83%D1%82%D0%BB%D1%8F%D1%80%D0%B5_%28%D0%A7%D0%B5%D1%85%D0%BE%D0%B2%29,https://www.youtube.com/watch?v=gmikuGMrPmA,video,Антон Павлович Чехов. Человек в футляре. аудиокнига,34:32,,public domain in RU
62,Грин А.С.,Алые паруса,1923,novella,alye-parusa,19817,https://ru.wikisource.org/wiki/%D0%90%D0%BB%D1%8B%D0%B5_%D0%BF%D0%B0%D1%80%D1%83%D1%81%D0%B0_%28%D0%93%D1%80%D0%B8%D0%BD%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%90%D0%BB%D1%8B%D0%B5_%D0%BF%D0%B0%D1%80%D1%83%D1%81%D0%B0_%28%D0%93%D1%80%D0%B8%D0%BD%29,https://www.youtube.com/watch?v=VYQi1Bc2U14,video,«Алые паруса». А.С. Грин. Аудиокнига,2:23:38,,public domain in RU
63,Толстой Л.Н.,Детство,1852,novella,detstvo,29637,https://ru.wikisource.org/wiki/%D0%94%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%BE_%28%D0%A2%D0%BE%D0%BB%D1%81%D1%82%D0%BE%D0%B9%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%94%D0%B5%D1%82%D1%81%D1%82%D0%B2%D0%BE_%28%D0%A2%D0%BE%D0%BB%D1%81%D1%82%D0%BE%D0%B9%29,https://www.youtube.com/watch?v=Q-7jWbYCp6w,video,Лев Николаевич Толстой. Детство. Аудиокнига,4:13:38,,public domain in RU
64,Шолохов М.А.,Судьба человека,1957,story,,,,,https://www.youtube.com/watch?v=Fi7j3oOGsyM,video,«Судьба человека». М. Шолохов. Читает Владимир Антоник,1:52:35,,in copyright — no free text source
65,Васильев Б.Л.,А зори здесь тихие…,1969,novella,,,,,https://www.youtube.com/watch?v=G3pGV4eD8fo,video,Борис Васильев — А зори здесь тихие…,4:50:15,,in copyright — no free text source
66,Ильф И. и Петров Е.,Золотой телёнок,1931,novel,zolotoy-telyonok,87264,https://ru.wikisource.org/wiki/%D0%97%D0%BE%D0%BB%D0%BE%D1%82%D0%BE%D0%B9_%D1%82%D0%B5%D0%BB%D1%91%D0%BD%D0%BE%D0%BA_%28%D0%98%D0%BB%D1%8C%D1%84_%D0%B8_%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%97%D0%BE%D0%BB%D0%BE%D1%82%D0%BE%D0%B9_%D1%82%D0%B5%D0%BB%D1%91%D0%BD%D0%BE%D0%BA_%28%D0%98%D0%BB%D1%8C%D1%84_%D0%B8_%D0%9F%D0%B5%D1%82%D1%80%D0%BE%D0%B2%29,https://www.youtube.com/watch?v=7Jdcp5nNby8,video,"Золотой телёнок, аудиокнига. Ильф и Петров. Полная версия",11:55:00,,public domain in RU
67,Пушкин А.С.,Борис Годунов,1831,play,boris-godunov,11414,https://ru.wikisource.org/wiki/%D0%91%D0%BE%D1%80%D0%B8%D1%81_%D0%93%D0%BE%D0%B4%D1%83%D0%BD%D0%BE%D0%B2_%28%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%91%D0%BE%D1%80%D0%B8%D1%81_%D0%93%D0%BE%D0%B4%D1%83%D0%BD%D0%BE%D0%B2_%28%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD%29,https://www.youtube.com/watch?v=0IxG7eF3Etw,video,Александр Пушкин. Борис Годунов. Аудиокнига,1:43:55,,public domain in RU
68,Фонвизин Д.И.,Недоросль,1782,play,nedorosl,15966,https://ru.wikisource.org/wiki/%D0%9D%D0%B5%D0%B4%D0%BE%D1%80%D0%BE%D1%81%D0%BB%D1%8C_%28%D0%A4%D0%BE%D0%BD%D0%B2%D0%B8%D0%B7%D0%B8%D0%BD%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%9D%D0%B5%D0%B4%D0%BE%D1%80%D0%BE%D1%81%D0%BB%D1%8C_%28%D0%A4%D0%BE%D0%BD%D0%B2%D0%B8%D0%B7%D0%B8%D0%BD%29,https://www.youtube.com/watch?v=sHTARGBrqGE,video,"Недоросль (1987). По пьесе Фонвизина, Малый театр",2:16:41,,public domain in RU
69,Гончаров И.А.,Обыкновенная история,1847,novel,obyknovennaya-istoriya,90802,https://ru.wikisource.org/wiki/%D0%9E%D0%B1%D1%8B%D0%BA%D0%BD%D0%BE%D0%B2%D0%B5%D0%BD%D0%BD%D0%B0%D1%8F_%D0%B8%D1%81%D1%82%D0%BE%D1%80%D0%B8%D1%8F_%28%D0%93%D0%BE%D0%BD%D1%87%D0%B0%D1%80%D0%BE%D0%B2%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%9E%D0%B1%D1%8B%D0%BA%D0%BD%D0%BE%D0%B2%D0%B5%D0%BD%D0%BD%D0%B0%D1%8F_%D0%B8%D1%81%D1%82%D0%BE%D1%80%D0%B8%D1%8F_%28%D0%93%D0%BE%D0%BD%D1%87%D0%B0%D1%80%D0%BE%D0%B2%29,https://www.youtube.com/watch?v=_kHcQzcpfAo,video,"Иван Гончаров «Обыкновенная история» (полная аудиокнига, 1/2)",7:17:44,part 1 only; the rest is on the same channel,public domain in RU
70,Лесков Н.С.,Левша,1881,story,levsha,8927,https://ru.wikisource.org/wiki/%D0%9B%D0%B5%D0%B2%D1%88%D0%B0_%28%D0%9B%D0%B5%D1%81%D0%BA%D0%BE%D0%B2%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%9B%D0%B5%D0%B2%D1%88%D0%B0_%28%D0%9B%D0%B5%D1%81%D0%BA%D0%BE%D0%B2%29,https://www.youtube.com/watch?v=74DBLogURFk,video,Николай Лесков. Левша. Аудиокнига,1:21:59,,public domain in RU
71,Достоевский Ф.М.,Униженные и оскорблённые,1861,novel,unizhennye-i-oskorblyonnye,118113,https://ru.wikisource.org/wiki/%D0%A3%D0%BD%D0%B8%D0%B6%D0%B5%D0%BD%D0%BD%D1%8B%D0%B5_%D0%B8_%D0%BE%D1%81%D0%BA%D0%BE%D1%80%D0%B1%D0%BB%D1%91%D0%BD%D0%BD%D1%8B%D0%B5_%28%D0%94%D0%BE%D1%81%D1%82%D0%BE%D0%B5%D0%B2%D1%81%D0%BA%D0%B8%D0%B9%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%A3%D0%BD%D0%B8%D0%B6%D0%B5%D0%BD%D0%BD%D1%8B%D0%B5_%D0%B8_%D0%BE%D1%81%D0%BA%D0%BE%D1%80%D0%B1%D0%BB%D1%91%D0%BD%D0%BD%D1%8B%D0%B5_%28%D0%94%D0%BE%D1%81%D1%82%D0%BE%D0%B5%D0%B2%D1%81%D0%BA%D0%B8%D0%B9%29,https://www.youtube.com/watch?v=z0NxfsLzzkY,video,Униженные и оскорблённые. Достоевский Ф.М. (ч.2) аудиокнига,7:51:27,part 1 only; the rest is on the same channel,public domain in RU
72,Салтыков-Щедрин М.Е.,История одного города,1870,novel,istoriya-odnogo-goroda,55632,https://ru.wikisource.org/wiki/%D0%98%D1%81%D1%82%D0%BE%D1%80%D0%B8%D1%8F_%D0%BE%D0%B4%D0%BD%D0%BE%D0%B3%D0%BE_%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D0%B0_%28%D0%A1%D0%B0%D0%BB%D1%82%D1%8B%D0%BA%D0%BE%D0%B2-%D0%A9%D0%B5%D0%B4%D1%80%D0%B8%D0%BD%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%98%D1%81%D1%82%D0%BE%D1%80%D0%B8%D1%8F_%D0%BE%D0%B4%D0%BD%D0%BE%D0%B3%D0%BE_%D0%B3%D0%BE%D1%80%D0%BE%D0%B4%D0%B0_%28%D0%A1%D0%B0%D0%BB%D1%82%D1%8B%D0%BA%D0%BE%D0%B2-%D0%A9%D0%B5%D0%B4%D1%80%D0%B8%D0%BD%29,https://www.youtube.com/watch?v=iA6BDtFQ3aE,video,Михаил Евграфович Салтыков-Щедрин. История одного города. Аудиокнига,9:53:05,,public domain in RU
73,Толстой Л.Н.,Хаджи-Мурат,1912,novella,khadzhi-murat,34523,https://ru.wikisource.org/wiki/%D0%A5%D0%B0%D0%B4%D0%B6%D0%B8-%D0%9C%D1%83%D1%80%D0%B0%D1%82_%28%D0%A2%D0%BE%D0%BB%D1%81%D1%82%D0%BE%D0%B9%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%A5%D0%B0%D0%B4%D0%B6%D0%B8-%D0%9C%D1%83%D1%80%D0%B0%D1%82_%28%D0%A2%D0%BE%D0%BB%D1%81%D1%82%D0%BE%D0%B9%29,https://www.youtube.com/watch?v=lEBCIGUlkgc,video,Лев Николаевич Толстой. Хаджи-Мурат. аудиокнига,5:18:32,,public domain in RU
74,Тургенев И.С.,Дворянское гнездо,1859,novel,dvoryanskoe-gnezdo,46451,https://ru.wikisource.org/wiki/%D0%94%D0%B2%D0%BE%D1%80%D1%8F%D0%BD%D1%81%D0%BA%D0%BE%D0%B5_%D0%B3%D0%BD%D0%B5%D0%B7%D0%B4%D0%BE_%28%D0%A2%D1%83%D1%80%D0%B3%D0%B5%D0%BD%D0%B5%D0%B2%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%94%D0%B2%D0%BE%D1%80%D1%8F%D0%BD%D1%81%D0%BA%D0%BE%D0%B5_%D0%B3%D0%BD%D0%B5%D0%B7%D0%B4%D0%BE_%28%D0%A2%D1%83%D1%80%D0%B3%D0%B5%D0%BD%D0%B5%D0%B2%29,https://www.youtube.com/watch?v=kFFUBoPLpDw,video,Иван Сергеевич Тургенев. Дворянское гнездо. аудиокнига,7:06:50,,public domain in RU
75,Карамзин Н.М.,Бедная Лиза,1792,story,bednaya-liza,5050,https://ru.wikisource.org/wiki/%D0%91%D0%B5%D0%B4%D0%BD%D0%B0%D1%8F_%D0%9B%D0%B8%D0%B7%D0%B0_%28%D0%9A%D0%B0%D1%80%D0%B0%D0%BC%D0%B7%D0%B8%D0%BD%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%91%D0%B5%D0%B4%D0%BD%D0%B0%D1%8F_%D0%9B%D0%B8%D0%B7%D0%B0_%28%D0%9A%D0%B0%D1%80%D0%B0%D0%BC%D0%B7%D0%B8%D0%BD%29,https://www.youtube.com/watch?v=Lvq6lFrG7cA,video,Аудиокнига. Карамзин Николай Михайлович. «Бедная Лиза»,55:36,,public domain in RU
76,Радищев А.Н.,Путешествие из Петербурга в Москву,1790,prose,puteshestvie-iz-peterburga-v-moskvu,50977,https://ru.wikisource.org/wiki/%D0%9F%D1%83%D1%82%D0%B5%D1%88%D0%B5%D1%81%D1%82%D0%B2%D0%B8%D0%B5_%D0%B8%D0%B7_%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B0_%D0%B2_%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D1%83_%28%D0%A0%D0%B0%D0%B4%D0%B8%D1%89%D0%B5%D0%B2%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%9F%D1%83%D1%82%D0%B5%D1%88%D0%B5%D1%81%D1%82%D0%B2%D0%B8%D0%B5_%D0%B8%D0%B7_%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3%D0%B0_%D0%B2_%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D1%83_%28%D0%A0%D0%B0%D0%B4%D0%B8%D1%89%D0%B5%D0%B2%29,https://www.youtube.com/watch?v=fIjx1zwYkho,video,Александр Радищев «Путешествие из Петербурга в Москву»,8:01:11,,public domain in RU
77,Пушкин А.С.,Руслан и Людмила,1820,poem,ruslan-i-lyudmila,11377,https://ru.wikisource.org/wiki/%D0%A0%D1%83%D1%81%D0%BB%D0%B0%D0%BD_%D0%B8_%D0%9B%D1%8E%D0%B4%D0%BC%D0%B8%D0%BB%D0%B0_%28%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%A0%D1%83%D1%81%D0%BB%D0%B0%D0%BD_%D0%B8_%D0%9B%D1%8E%D0%B4%D0%BC%D0%B8%D0%BB%D0%B0_%28%D0%9F%D1%83%D1%88%D0%BA%D0%B8%D0%BD%29,https://www.youtube.com/watch?v=2o2tFvCBt0M,video,А.С. Пушкин «Руслан и Людмила». Читает Александр Клюквин,2:18:08,,public domain in RU
78,Горький М.,Старуха Изергиль,1895,story,starukha-izergil,6916,https://ru.wikisource.org/wiki/%D0%A1%D1%82%D0%B0%D1%80%D1%83%D1%85%D0%B0_%D0%98%D0%B7%D0%B5%D1%80%D0%B3%D0%B8%D0%BB%D1%8C_%28%D0%93%D0%BE%D1%80%D1%8C%D0%BA%D0%B8%D0%B9%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%A1%D1%82%D0%B0%D1%80%D1%83%D1%85%D0%B0_%D0%98%D0%B7%D0%B5%D1%80%D0%B3%D0%B8%D0%BB%D1%8C_%28%D0%93%D0%BE%D1%80%D1%8C%D0%BA%D0%B8%D0%B9%29,https://www.youtube.com/watch?v=E-lYk1nIA5s,video,Максим Горький — Старуха Изергиль — аудиокнига,1:18:46,,public domain in RU
79,Куприн А.И.,Поединок,1905,novel,poedinok,65790,https://ru.wikisource.org/wiki/%D0%9F%D0%BE%D0%B5%D0%B4%D0%B8%D0%BD%D0%BE%D0%BA_%28%D0%9A%D1%83%D0%BF%D1%80%D0%B8%D0%BD%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%9F%D0%BE%D0%B5%D0%B4%D0%B8%D0%BD%D0%BE%D0%BA_%28%D0%9A%D1%83%D0%BF%D1%80%D0%B8%D0%BD%29,https://www.youtube.com/watch?v=BneXWmFbzug,video,Александр Иванович Куприн. Поединок. аудиокнига,10:01:10,,public domain in RU
80,Бунин И.А.,Лёгкое дыхание,1916,story,legkoe-dykhanie,1657,https://ru.wikisource.org/wiki/%D0%9B%D1%91%D0%B3%D0%BA%D0%BE%D0%B5_%D0%B4%D1%8B%D1%85%D0%B0%D0%BD%D0%B8%D0%B5_%28%D0%91%D1%83%D0%BD%D0%B8%D0%BD%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%9B%D1%91%D0%B3%D0%BA%D0%BE%D0%B5_%D0%B4%D1%8B%D1%85%D0%B0%D0%BD%D0%B8%D0%B5_%28%D0%91%D1%83%D0%BD%D0%B8%D0%BD%29,https://www.youtube.com/watch?v=g2SlVPnTPO8,video,Лёгкое дыхание. Рассказ. Бунин. Аудиокниги,14:18,,public domain in RU
81,Платонов А.П.,Котлован,1930,novella,,,,,https://www.youtube.com/watch?v=aWPGTgf28h4,video,Котлован. Андрей Платонов,4:22:13,,in copyright — no free text source
82,Стругацкие А. и Б.,Пикник на обочине,1972,novel,,,,,https://www.youtube.com/watch?v=Ix_X_U7aGUc,video,"Пикник на обочине. Аркадий и Борис Стругацкие. Радиоспектакль, 1990",4:16:39,,in copyright — no free text source
83,Ерофеев В.В.,Москва — Петушки,1970,novella,moskva-petushki,33423,,,https://www.youtube.com/watch?v=ixHuNttMYzA,video,Венедикт Ерофеев «Москва — Петушки». Читает Сергей Шнуров,4:19:03,,in copyright — no free text source
84,Толстой А.Н.,Пётр Первый,1945,novel,,,https://ru.wikisource.org/wiki/%D0%9F%D1%91%D1%82%D1%80_I_%28%D0%A2%D0%BE%D0%BB%D1%81%D1%82%D0%BE%D0%B9%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%9F%D1%91%D1%82%D1%80_I_%28%D0%A2%D0%BE%D0%BB%D1%81%D1%82%D0%BE%D0%B9%29,https://www.youtube.com/playlist?list=PL7TrsfRKwyFdtVhtVj3DmSGH6rzkz2haE,playlist,"Алексей Толстой. Пётр Первый, часть 2",3:34:13,no single full upload found — playlist covers the whole book,public domain in RU
85,Лесков Н.С.,Очарованный странник,1873,novella,ocharovannyy-strannik,41338,https://ru.wikisource.org/wiki/%D0%9E%D1%87%D0%B0%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%BD%D1%8B%D0%B9_%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%BD%D0%B8%D0%BA_%28%D0%9B%D0%B5%D1%81%D0%BA%D0%BE%D0%B2%29,https://ws-export.wmcloud.org/?format=epub-3&lang=ru&page=%D0%9E%D1%87%D0%B0%D1%80%D0%BE%D0%B2%D0%B0%D0%BD%D0%BD%D1%8B%D0%B9_%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%BD%D0%B8%D0%BA_%28%D0%9B%D0%B5%D1%81%D0%BA%D0%BE%D0%B2%29,https://www.youtube.com/watch?v=9m4gzGuImOQ,video,Повесть «Очарованный странник». Н.С. Лесков,5:53:48,,public domain in RU
